Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
DNA/CACTA	ET_3	6235	2	1	NA	917	0.99
###DNA/CACTA	All_elements	NA	2	1	NA	917	0.9881

######Type:DNA	All_elements	NA	2	1	NA	917	0.9881

LINE/L1	ET_4	2098	1	0	NA	0	0.00
###LINE/L1	All_elements	NA	1	0	NA	0	0.0000

######Type:LINE	All_elements	NA	1	0	NA	0	0.0000

######Type:SINE	All_elements	NA			NA		0.0000

LTR/Gypsy	ET_23	No_ref_available	2	2	0	376	0.41
###LTR/Gypsy	All_elements	NA	2	2	0	376	0.4051

######Type:LTR	All_elements	NA	2	2	0	376	0.4051

######Type:Unknown	All_elements	NA			NA		0.0000

#########Type:EVERYTHING_TE	All_elements	NA	5	3	NA	1293	1.3932

######Type:Low_complexity	All_elements	NA	NA	4	NA	182	0.1961

######Type:Simple_repeat	All_elements	NA	NA	10	NA	465	0.5010

