Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
######Type:DNA	All_elements	NA			NA		0.0000

LINE/R2	ET_15	444	2	1	NA	444	1.31
###LINE/R2	All_elements	NA	2	1	NA	444	1.3052

######Type:LINE	All_elements	NA	2	1	NA	444	1.3052

######Type:SINE	All_elements	NA			NA		0.0000

LTR/Gypsy	ET_23		1	0	0	0	0.00
###LTR/Gypsy	All_elements	NA	1	0	0	0	0.0000

######Type:LTR	All_elements	NA	1	0	0	0	0.0000

######Type:Unknown	All_elements	NA			NA		0.0000

#########Type:EVERYTHING_TE	All_elements	NA	3	1	NA	444	1.3052

######Type:Low_complexity	All_elements	NA	NA	2	NA	58	0.1705

######Type:Simple_repeat	All_elements	NA	NA	2	NA	75	0.2205

