Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
######Type:DNA	All_elements	NA			NA		0.0000

LINE/L1	ET_4	2098	1	1	NA	551	0.86
###LINE/L1	All_elements	NA	1	1	NA	551	0.8571

LINE/R1	ET_2	2292	2	2	NA	867	1.35
###LINE/R1	All_elements	NA	2	2	NA	867	1.3487

######Type:LINE	All_elements	NA	3	3	NA	1418	2.2058

######Type:SINE	All_elements	NA			NA		0.0000

######Type:LTR	All_elements	NA			0		0.0000

######Type:Unknown	All_elements	NA			NA		0.0000

#########Type:EVERYTHING_TE	All_elements	NA	3	3	NA	1418	2.2058

######Type:Low_complexity	All_elements	NA	NA	1	NA	37	0.0576

######Type:Simple_repeat	All_elements	NA	NA	5	NA	335	0.5211

