Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
DNA/Maverick	ET_33	4741	1	0	NA	0	0.00
###DNA/Maverick	All_elements	NA	1	0	NA	0	0.0000

######Type:DNA	All_elements	NA	1	0	NA	0	0.0000

LINE/L1	ET_31	362	1	1	NA	361	6.39
###LINE/L1	All_elements	NA	1	1	NA	361	6.3939

######Type:LINE	All_elements	NA	1	1	NA	361	6.3939

######Type:SINE	All_elements	NA			NA		0.0000

######Type:LTR	All_elements	NA			0		0.0000

######Type:Unknown	All_elements	NA			NA		0.0000

#########Type:EVERYTHING_TE	All_elements	NA	2	1	NA	361	6.3939

