Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
DNA/Maverick	ET_33	4741	1	0	NA	0	0.00
###DNA/Maverick	All_elements	NA	1	0	NA	0	0.0000

######Type:DNA	All_elements	NA	1	0	NA	0	0.0000

LINE/L1	ET_31	362	1	1	NA	361	3.46
###LINE/L1	All_elements	NA	1	1	NA	361	3.4622

######Type:LINE	All_elements	NA	1	1	NA	361	3.4622

######Type:SINE	All_elements	NA			NA		0.0000

LTR/Gypsy	ET_32	No_ref_available	2	0	0	0	0.00
LTR/Gypsy	ET_34	No_ref_available	1	0	0	0	0.00
LTR/Gypsy	ET_35	No_ref_available	3	1	0	1626	15.59
###LTR/Gypsy	All_elements	NA	6	1	0	1626	15.5941

######Type:LTR	All_elements	NA	6	1	0	1626	15.5941

######Type:Unknown	All_elements	NA			NA		0.0000

#########Type:EVERYTHING_TE	All_elements	NA	8	2	NA	1987	19.0563

