Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
DNA/Maverick	ET_33	4741	13	4	NA	10417	2.12
###DNA/Maverick	All_elements	NA	13	4	NA	10417	2.1214

######Type:DNA	All_elements	NA	13	4	NA	10417	2.1214

LINE/L1	ET_31	362	15	6	NA	1744	0.36
###LINE/L1	All_elements	NA	15	6	NA	1744	0.3552

LINE/R1	ET_2	2292	1	0	NA	0	0.00
###LINE/R1	All_elements	NA	1	0	NA	0	0.0000

######Type:LINE	All_elements	NA	16	6	NA	1744	0.3552

######Type:SINE	All_elements	NA			NA		0.0000

LTR/Gypsy	ET_23	No_ref_available	1	1	0	312	0.06
LTR/Gypsy	ET_32	No_ref_available	10	4	0	13742	2.80
LTR/Gypsy	ET_34	No_ref_available	36	1	0	790	0.16
LTR/Gypsy	ET_35	No_ref_available	36	13	0	40272	8.20
###LTR/Gypsy	All_elements	NA	83	19	0	55116	11.2245

######Type:LTR	All_elements	NA	83	19	0	55116	11.2245

######Type:Unknown	All_elements	NA			NA		0.0000

#########Type:EVERYTHING_TE	All_elements	NA	112	29	NA	67277	13.7011

######Type:Low_complexity	All_elements	NA	NA	21	NA	1257	0.2560

######Type:Simple_repeat	All_elements	NA	NA	239	NA	10307	2.0990

