Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
DNA/Maverick	ET_33	4741	5	2	NA	2704	0.99
###DNA/Maverick	All_elements	NA	5	2	NA	2704	0.9882

######Type:DNA	All_elements	NA	5	2	NA	2704	0.9882

LINE/L1	ET_31	362	6	2	NA	438	0.16
LINE/L1	ET_6	126	1	0	NA	0	0.00
###LINE/L1	All_elements	NA	7	2	NA	438	0.1601

LINE/RTE	ET_39	1614	3	3	NA	4842	1.77
###LINE/RTE	All_elements	NA	3	3	NA	4842	1.7695

######Type:LINE	All_elements	NA	10	5	NA	5280	1.9296

######Type:SINE	All_elements	NA			NA		0.0000

LTR/Gypsy	ET_32	No_ref_available	6	1	0	5791	2.12
LTR/Gypsy	ET_34	No_ref_available	15	0	0	0	0.00
LTR/Gypsy	ET_35	No_ref_available	8	3	0	11740	4.29
LTR/Gypsy	ET_37	No_ref_available	1	1	0	198	0.07
LTR/Gypsy	ET_38	No_ref_available	1	1	0	264	0.10
###LTR/Gypsy	All_elements	NA	31	6	0	17993	6.5755

######Type:LTR	All_elements	NA	31	6	0	17993	6.5755

######Type:Unknown	All_elements	NA			NA		0.0000

#########Type:EVERYTHING_TE	All_elements	NA	46	13	NA	25977	9.4933

######Type:Low_complexity	All_elements	NA	NA	9	NA	1185	0.4331

######Type:Simple_repeat	All_elements	NA	NA	92	NA	5383	1.9672

