Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
DNA/Maverick	ET_33	4741	1	0	NA	0	0.00
###DNA/Maverick	All_elements	NA	1	0	NA	0	0.0000

######Type:DNA	All_elements	NA	1	0	NA	0	0.0000

######Type:LINE	All_elements	NA			NA		0.0000

######Type:SINE	All_elements	NA			NA		0.0000

LTR/Gypsy	ET_32	No_ref_available	4	1	0	2651	73.86
LTR/Gypsy	ET_35	No_ref_available	1	1	0	136	3.79
###LTR/Gypsy	All_elements	NA	5	2	0	2787	77.6539

######Type:LTR	All_elements	NA	5	2	0	2787	77.6539

######Type:Unknown	All_elements	NA			NA		0.0000

#########Type:EVERYTHING_TE	All_elements	NA	6	2	NA	2787	77.6539

