Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
DNA/CACTA	ET_3	6235	1	1	NA	98	0.01
###DNA/CACTA	All_elements	NA	1	1	NA	98	0.0072

DNA/Maverick	ET_33	4741	11	4	NA	5409	0.40
###DNA/Maverick	All_elements	NA	11	4	NA	5409	0.3993

DNA/TC1	ET_41	135	1	0	NA	0	0.00
###DNA/TC1	All_elements	NA	1	0	NA	0	0.0000

######Type:DNA	All_elements	NA	13	5	NA	5507	0.4065

LINE/L1	ET_31	362	15	4	NA	1026	0.08
LINE/L1	ET_4	2098	2	0	NA	0	0.00
###LINE/L1	All_elements	NA	17	4	NA	1026	0.0757

######Type:LINE	All_elements	NA	17	4	NA	1026	0.0757

######Type:SINE	All_elements	NA			NA		0.0000

LTR/Gypsy	ET_23	No_ref_available	2	1	0	312	0.02
LTR/Gypsy	ET_32	No_ref_available	8	4	0	9538	0.70
LTR/Gypsy	ET_34	No_ref_available	57	2	0	709	0.05
LTR/Gypsy	ET_35	No_ref_available	37	9	0	53028	3.91
LTR/Gypsy	ET_38	No_ref_available	1	0	0	0	0.00
###LTR/Gypsy	All_elements	NA	105	16	0	63587	4.6935

######Type:LTR	All_elements	NA	105	16	0	63587	4.6935

######Type:Unknown	All_elements	NA			NA		0.0000

#########Type:EVERYTHING_TE	All_elements	NA	135	25	NA	70120	5.1757

######Type:Low_complexity	All_elements	NA	NA	67	NA	4134	0.3051

######Type:Simple_repeat	All_elements	NA	NA	584	NA	27697	2.0444

