Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
######Type:DNA	All_elements	NA			NA		0.0000

LINE/L1	ET_31	362	1	1	NA	361	2.26
###LINE/L1	All_elements	NA	1	1	NA	361	2.2594

######Type:LINE	All_elements	NA	1	1	NA	361	2.2594

######Type:SINE	All_elements	NA			NA		0.0000

LTR/Gypsy	ET_34	No_ref_available	2	0	0	0	0.00
###LTR/Gypsy	All_elements	NA	2	0	0	0	0.0000

######Type:LTR	All_elements	NA	2	0	0	0	0.0000

######Type:Unknown	All_elements	NA			NA		0.0000

#########Type:EVERYTHING_TE	All_elements	NA	3	1	NA	361	2.2594

######Type:Low_complexity	All_elements	NA	NA	1	NA	120	0.7510

######Type:Simple_repeat	All_elements	NA	NA	31	NA	1276	7.9860

