Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
DNA/Maverick	ET_33	4741	1	1	NA	1559	2.06
###DNA/Maverick	All_elements	NA	1	1	NA	1559	2.0624

######Type:DNA	All_elements	NA	1	1	NA	1559	2.0624

LINE/L1	ET_31	362	3	0	NA	0	0.00
###LINE/L1	All_elements	NA	3	0	NA	0	0.0000

LINE/RTE	ET_39	1614	2	2	NA	1858	2.46
###LINE/RTE	All_elements	NA	2	2	NA	1858	2.4579

######Type:LINE	All_elements	NA	5	2	NA	1858	2.4579

######Type:SINE	All_elements	NA			NA		0.0000

LTR/Gypsy	ET_32	No_ref_available	2	0	0	0	0.00
LTR/Gypsy	ET_35	No_ref_available	8	3	0	21042	27.84
###LTR/Gypsy	All_elements	NA	10	3	0	21042	27.8359

######Type:LTR	All_elements	NA	10	3	0	21042	27.8359

######Type:Unknown	All_elements	NA			NA		0.0000

#########Type:EVERYTHING_TE	All_elements	NA	16	6	NA	24459	32.3562

######Type:Low_complexity	All_elements	NA	NA	3	NA	159	0.2103

######Type:Simple_repeat	All_elements	NA	NA	28	NA	1319	1.7449

