Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
######Type:DNA	All_elements	NA			NA		0.0000

LINE/L1	ET_31	362	1	1	NA	293	2.50
###LINE/L1	All_elements	NA	1	1	NA	293	2.5026

######Type:LINE	All_elements	NA	1	1	NA	293	2.5026

######Type:SINE	All_elements	NA			NA		0.0000

LTR/Gypsy	ET_32	No_ref_available	1	0	0	0	0.00
LTR/Gypsy	ET_35	No_ref_available	3	0	0	0	0.00
###LTR/Gypsy	All_elements	NA	4	0	0	0	0.0000

######Type:LTR	All_elements	NA	4	0	0	0	0.0000

######Type:Unknown	All_elements	NA			NA		0.0000

#########Type:EVERYTHING_TE	All_elements	NA	5	1	NA	293	2.5026

######Type:Simple_repeat	All_elements	NA	NA	4	NA	121	1.0335

