Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
######Type:DNA	All_elements	NA			NA		0.0000

LINE/L1	ET_31	362	1	0	NA	0	0.00
###LINE/L1	All_elements	NA	1	0	NA	0	0.0000

######Type:LINE	All_elements	NA	1	0	NA	0	0.0000

######Type:SINE	All_elements	NA			NA		0.0000

LTR/Gypsy	ET_35	No_ref_available	1	1	0	196	2.78
###LTR/Gypsy	All_elements	NA	1	1	0	196	2.7813

######Type:LTR	All_elements	NA	1	1	0	196	2.7813

######Type:Unknown	All_elements	NA			NA		0.0000

#########Type:EVERYTHING_TE	All_elements	NA	2	1	NA	196	2.7813

######Type:Low_complexity	All_elements	NA	NA	1	NA	48	0.6811

