Score	%_Div	%_Del	%_Ins	Query	Beg.	End.	Length	Sense	Element	Family	Pos_Repeat_Beg	Pos_Repeat_End	Pos_Repeat_Left	ID	Num_Assembled	%_of_Ref

###3099	9.7	0.0	2.6	Scaffold_1	1035208	1035674	455	+	ET_18	DNA/Ginger	3	457	(2)	1404	1	0.991

###22441	7.1	0.2	1.9	Scaffold_1	335930	338935	2922	C	ET_33	DNA/Maverick	(1789)	2952	31	1076	1	0.616

###22300	6.0	0.1	2.1	Scaffold_1	1531088	1534066	2922	+	ET_33	DNA/Maverick	31	2952	(1789)	1585	1	0.616

###11587/26472	4.933	1.517	0.517	Scaffold_1	1727108	1731973	4682	+	ET_33	DNA/Maverick	40	4741	(0)	1673/1675	2	0.988
11587	1.9	0.0	0.3	Scaffold_1	1727108	1728395	1284	+	ET_33	DNA/Maverick	40	1323	(3418)	1673	1
26472	6.1	2.1	0.6	Scaffold_1	1728626	1731973	3398	+	ET_33	DNA/Maverick	1344	4741	(0)	1675	1

###6154	17.5	3.1	1.9	Scaffold_1	1744492	1745662	1185	+	ET_33	DNA/Maverick	3557	4741	(0)	1701	1	0.250

###6217	17.1	3.0	2.3	Scaffold_1	1788040	1789215	1184	C	ET_33	DNA/Maverick	(0)	4741	3558	1723	1	0.250

###11417	10.8	4.6	0.3	Scaffold_1	1850991	1852678	1760	C	ET_33	DNA/Maverick	(0)	4741	2982	1753	1	0.371

###2483/516	2.349	0.000	0.000	Scaffold_1	27555	27985	339	+	ET_31	LINE/L1	2	362	(0)	889/889	2	0.936
2483	1.8	0.0	0.0	Scaffold_1	27555	27831	277	+	ET_31	LINE/L1	2	278	(84)	889	1
516	4.8	0.0	0.0	Scaffold_1	27924	27985	62	+	ET_31	LINE/L1	301	362	(0)	889	1

###1441	11.9	0.5	2.7	Scaffold_1	178276	178499	219	C	ET_31	LINE/L1	(142)	220	2	961	1	0.605

###2249/441	5.407	0.244	8.227	Scaffold_1	351603	352029	355	+	ET_31	LINE/L1	2	362	(0)	1081/1081	2	0.981
2249	5.5	0.3	6.8	Scaffold_1	351603	351914	293	+	ET_31	LINE/L1	2	294	(68)	1081	1
441	5.0	0.0	14.5	Scaffold_1	351959	352029	62	+	ET_31	LINE/L1	301	362	(0)	1081	1

###256	17.0	7.8	7.8	Scaffold_1	1459770	1459871	102	C	ET_31	LINE/L1	(22)	340	239	1560	1	0.282

###1586	8.7	0.0	2.7	Scaffold_1	1466544	1466768	219	+	ET_31	LINE/L1	2	220	(142)	1561	1	0.605

###1532	9.6	0.0	2.7	Scaffold_1	1519614	1519838	219	C	ET_31	LINE/L1	(142)	220	2	1583	1	0.605

###1693	6.9	0.0	2.7	Scaffold_1	1714569	1714793	219	C	ET_31	LINE/L1	(142)	220	2	1670	1	0.605

###2983	18.1	0.9	1.1	Scaffold_1	1173697	1174238	541	+	ET_26	LINE/R1	1	541	(1)	1469	1	0.998

###2848	17.7	0.6	1.3	Scaffold_1	1422591	1423133	539	+	ET_26	LINE/R1	1	539	(3)	1544	1	0.994
