Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
DNA/CACTA	ET_3	6235	2	0	NA	0	0.00
###DNA/CACTA	All_elements	NA	2	0	NA	0	0.0000

DNA/Maverick	ET_33	4741	7	3	NA	3538	0.85
###DNA/Maverick	All_elements	NA	7	3	NA	3538	0.8541

######Type:DNA	All_elements	NA	9	3	NA	3538	0.8541

LINE/L1	ET_31	362	18	4	NA	1026	0.25
###LINE/L1	All_elements	NA	18	4	NA	1026	0.2477

LINE/RTE	ET_39	1614	2	2	NA	1858	0.45
###LINE/RTE	All_elements	NA	2	2	NA	1858	0.4485

######Type:LINE	All_elements	NA	20	6	NA	2884	0.6962

######Type:SINE	All_elements	NA			NA		0.0000

LTR/Gypsy	ET_32	No_ref_available	21	5	0	18004	4.35
LTR/Gypsy	ET_34	No_ref_available	15	0	0	0	0.00
LTR/Gypsy	ET_35	No_ref_available	38	10	0	36318	8.77
###LTR/Gypsy	All_elements	NA	74	15	0	54322	13.1136

######Type:LTR	All_elements	NA	74	15	0	54322	13.1136

Unknown	ET_51	327	1	0	NA	0	0.00
###Unknown	All_elements	NA	1	0	NA	0	0.0000

######Type:Unknown	All_elements	NA	1	0	NA	0	0.0000

#########Type:EVERYTHING_TE	All_elements	NA	104	24	NA	60744	14.6639

######Type:Low_complexity	All_elements	NA	NA	29	NA	1872	0.4519

######Type:Simple_repeat	All_elements	NA	NA	275	NA	12393	2.9917

