Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
######Type:DNA	All_elements	NA			NA		0.0000

LINE/L1	ET_31	362	2	0	NA	0	0.00
###LINE/L1	All_elements	NA	2	0	NA	0	0.0000

######Type:LINE	All_elements	NA	2	0	NA	0	0.0000

######Type:SINE	All_elements	NA			NA		0.0000

LTR/Gypsy	ET_34	No_ref_available	2	0	0	0	0.00
###LTR/Gypsy	All_elements	NA	2	0	0	0	0.0000

######Type:LTR	All_elements	NA	2	0	0	0	0.0000

######Type:Unknown	All_elements	NA			NA		0.0000

#########Type:EVERYTHING_TE	All_elements	NA	4	0	NA	0	0.0000

######Type:Simple_repeat	All_elements	NA	NA	22	NA	995	10.2440

