Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
DNA/Maverick	ET_33	4741	4	0	NA	0	0.00
###DNA/Maverick	All_elements	NA	4	0	NA	0	0.0000

######Type:DNA	All_elements	NA	4	0	NA	0	0.0000

LINE/L1	ET_31	362	4	1	NA	361	0.40
###LINE/L1	All_elements	NA	4	1	NA	361	0.4011

######Type:LINE	All_elements	NA	4	1	NA	361	0.4011

######Type:SINE	All_elements	NA			NA		0.0000

LTR/Gypsy	ET_32	No_ref_available	5	2	0	6551	7.28
LTR/Gypsy	ET_34	No_ref_available	7	0	0	0	0.00
LTR/Gypsy	ET_35	No_ref_available	13	5	0	14972	16.64
###LTR/Gypsy	All_elements	NA	25	7	0	21523	23.9160

######Type:LTR	All_elements	NA	25	7	0	21523	23.9160

######Type:Unknown	All_elements	NA			NA		0.0000

#########Type:EVERYTHING_TE	All_elements	NA	33	8	NA	21884	24.3172

######Type:Low_complexity	All_elements	NA	NA	1	NA	30	0.0333

######Type:Simple_repeat	All_elements	NA	NA	11	NA	469	0.5211

