Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
######Type:DNA	All_elements	NA			NA		0.0000

LINE/RTE	ET_39	1614	1	1	NA	219	2.17
###LINE/RTE	All_elements	NA	1	1	NA	219	2.1655

######Type:LINE	All_elements	NA	1	1	NA	219	2.1655

######Type:SINE	All_elements	NA			NA		0.0000

######Type:LTR	All_elements	NA			0		0.0000

######Type:Unknown	All_elements	NA			NA		0.0000

#########Type:EVERYTHING_TE	All_elements	NA	1	1	NA	219	2.1655

######Type:Low_complexity	All_elements	NA	NA	2	NA	263	2.6006

######Type:Simple_repeat	All_elements	NA	NA	9	NA	610	6.0318

