Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
DNA/Crypton	ET_27	913	1	0	NA	0	0.00
###DNA/Crypton	All_elements	NA	1	0	NA	0	0.0000

DNA/Maverick	ET_33	4741	2	0	NA	0	0.00
###DNA/Maverick	All_elements	NA	2	0	NA	0	0.0000

######Type:DNA	All_elements	NA	3	0	NA	0	0.0000

LINE/L1	ET_31	362	4	1	NA	219	0.12
###LINE/L1	All_elements	NA	4	1	NA	219	0.1199

######Type:LINE	All_elements	NA	4	1	NA	219	0.1199

######Type:SINE	All_elements	NA			NA		0.0000

LTR/Gypsy	ET_34	No_ref_available	13	2	0	1047	0.57
LTR/Gypsy	ET_35	No_ref_available	13	5	0	11871	6.50
###LTR/Gypsy	All_elements	NA	26	7	0	12918	7.0746

######Type:LTR	All_elements	NA	26	7	0	12918	7.0746

######Type:Unknown	All_elements	NA			NA		0.0000

#########Type:EVERYTHING_TE	All_elements	NA	33	8	NA	13137	7.1946

######Type:Low_complexity	All_elements	NA	NA	15	NA	745	0.4080

######Type:Simple_repeat	All_elements	NA	NA	102	NA	4935	2.7027

