Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
DNA/CACTA	ET_3	6235	2	0	NA	0	0.00
###DNA/CACTA	All_elements	NA	2	0	NA	0	0.0000

DNA/Helitron	ET_30	396	1	0	NA	0	0.00
DNA/Helitron	ET_36	168	1	1	NA	168	0.03
###DNA/Helitron	All_elements	NA	2	1	NA	168	0.0346

DNA/Maverick	ET_33	4741	4	0	NA	0	0.00
###DNA/Maverick	All_elements	NA	4	0	NA	0	0.0000

######Type:DNA	All_elements	NA	8	1	NA	168	0.0346

LINE/L1	ET_31	362	4	1	NA	358	0.07
LINE/L1	ET_4	2098	1	0	NA	0	0.00
###LINE/L1	All_elements	NA	5	1	NA	358	0.0737

LINE/RTE	ET_39	1614	1	1	NA	1614	0.33
###LINE/RTE	All_elements	NA	1	1	NA	1614	0.3322

######Type:LINE	All_elements	NA	6	2	NA	1972	0.4058

######Type:SINE	All_elements	NA			NA		0.0000

LTR/Gypsy	ET_32	No_ref_available	8	3	0	7134	1.47
LTR/Gypsy	ET_34	No_ref_available	21	0	0	0	0.00
LTR/Gypsy	ET_35	No_ref_available	9	2	0	13434	2.76
###LTR/Gypsy	All_elements	NA	38	5	0	20568	4.2329

######Type:LTR	All_elements	NA	38	5	0	20568	4.2329

######Type:Unknown	All_elements	NA			NA		0.0000

#########Type:EVERYTHING_TE	All_elements	NA	52	8	NA	22708	4.6733

######Type:Low_complexity	All_elements	NA	NA	20	NA	1267	0.2607

######Type:Simple_repeat	All_elements	NA	NA	140	NA	6786	1.3966

