Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
DNA/Maverick	ET_33	4741	4	3	NA	4905	0.83
###DNA/Maverick	All_elements	NA	4	3	NA	4905	0.8292

######Type:DNA	All_elements	NA	4	3	NA	4905	0.8292

LINE/L1	ET_31	362	9	2	NA	595	0.10
###LINE/L1	All_elements	NA	9	2	NA	595	0.1006

LINE/R1	ET_2	2292	3	0	NA	0	0.00
###LINE/R1	All_elements	NA	3	0	NA	0	0.0000

LINE/RTE	ET_39	1614	3	3	NA	3354	0.57
###LINE/RTE	All_elements	NA	3	3	NA	3354	0.5670

######Type:LINE	All_elements	NA	15	5	NA	3949	0.6676

######Type:SINE	All_elements	NA			NA		0.0000

LTR/Gypsy	ET_32	No_ref_available	8	2	0	10835	1.83
LTR/Gypsy	ET_34	No_ref_available	44	2	0	1048	0.18
LTR/Gypsy	ET_35	No_ref_available	14	6	0	27548	4.66
###LTR/Gypsy	All_elements	NA	66	10	0	39431	6.6660

######Type:LTR	All_elements	NA	66	10	0	39431	6.6660

######Type:Unknown	All_elements	NA			NA		0.0000

#########Type:EVERYTHING_TE	All_elements	NA	85	18	NA	48285	8.1628

######Type:Low_complexity	All_elements	NA	NA	27	NA	1329	0.2247

######Type:Simple_repeat	All_elements	NA	NA	336	NA	16107	2.7230

