Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
DNA/CACTA	ET_3	6235	1	0	NA	0	0.00
###DNA/CACTA	All_elements	NA	1	0	NA	0	0.0000

######Type:DNA	All_elements	NA	1	0	NA	0	0.0000

LINE/L1	ET_31	362	1	0	NA	0	0.00
LINE/L1	ET_4	2098	1	0	NA	0	0.00
###LINE/L1	All_elements	NA	2	0	NA	0	0.0000

######Type:LINE	All_elements	NA	2	0	NA	0	0.0000

######Type:SINE	All_elements	NA			NA		0.0000

LTR/Gypsy	ET_32	No_ref_available	1	0	0	0	0.00
LTR/Gypsy	ET_34	No_ref_available	7	0	0	0	0.00
###LTR/Gypsy	All_elements	NA	8	0	0	0	0.0000

######Type:LTR	All_elements	NA	8	0	0	0	0.0000

######Type:Unknown	All_elements	NA			NA		0.0000

#########Type:EVERYTHING_TE	All_elements	NA	11	0	NA	0	0.0000

######Type:Low_complexity	All_elements	NA	NA	3	NA	133	0.0916

######Type:Simple_repeat	All_elements	NA	NA	37	NA	1617	1.1143

