Score	%_Div	%_Del	%_Ins	Query	Beg.	End.	Length	Sense	Element	Family	Pos_Repeat_Beg	Pos_Repeat_End	Pos_Repeat_Left	ID	Num_Assembled	%_of_Ref

###7192	17.1	5.2	1.4	Scaffold_11	83208	83392	1467	C	ET_33	DNA/Maverick	(9)	4732	3266	2194	1	0.309

###12931	9.1	2.8	1.8	Scaffold_11	100832	102664	1850	+	ET_33	DNA/Maverick	2892	4741	(0)	2198	1	0.390

###12203	7.4	0.0	4.1	Scaffold_11	180466	182118	1588	+	ET_33	DNA/Maverick	1546	3133	(1608)	2248	1	0.335

###2447	8.7	0.3	7.2	Scaffold_11	85083	85468	361	C	ET_31	LINE/L1	(0)	362	2	2195	1	0.997

###1218	18.3	1.7	2.6	Scaffold_11	166271	166506	234	C	ET_31	LINE/L1	(127)	235	2	2241	1	0.646

###14262	2.0	0.0	0.3	Scaffold_11	13886	15504	1614	+	ET_39	LINE/RTE	1	1614	(0)	2167	1	1.000

###12888	2.6	0.0	0.0	Scaffold_11	552292	553787	1496	C	ET_39	LINE/RTE	(118)	1496	1	2541	1	0.927

###2065	4.5	0.0	0.0	Scaffold_11	559291	559534	244	+	ET_39	LINE/RTE	1371	1614	(0)	2550	1	0.151
